?x	?p	?y
<https://w3id.org/pmd/co/PMD_0020153>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/BFO_0000030>
<https://w3id.org/pmd/co/PMD_0050095>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0010023>
<https://w3id.org/pmd/co/PMD_0025997>	<http://purl.obolibrary.org/obo/OBI_0001927>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1117
<https://w3id.org/pmd/co/PMD_0020105>	<http://purl.obolibrary.org/obo/RO_0002353>	<https://w3id.org/pmd/co/PMD_0000110>
<https://w3id.org/pmd/co/PMD_0010004>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0010013>
<https://w3id.org/pmd/co/PMD_0000950>	<http://purl.obolibrary.org/obo/BFO_0000055>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid479
<https://w3id.org/pmd/co/PMD_0050022>	<http://purl.obolibrary.org/obo/RO_0002353>	<https://w3id.org/pmd/co/PMD_0010034>
<https://w3id.org/pmd/co/PMD_0025004>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020250>
<https://w3id.org/pmd/co/PMD_0000611>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0020132>
<https://w3id.org/pmd/co/PMD_0050119>	<http://purl.obolibrary.org/obo/OBI_0000312>	<https://w3id.org/pmd/co/PMD_0025011>
<https://w3id.org/pmd/co/PMD_0050055>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020091>
<https://w3id.org/pmd/co/PMD_0050082>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000112>
<https://w3id.org/pmd/co/PMD_0010015>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020040>
<https://w3id.org/pmd/co/PMD_0001015>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0020132>
<https://w3id.org/pmd/co/PMD_0010001>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020030>
<https://w3id.org/pmd/co/PMD_0050036>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0200001>
<http://purl.obolibrary.org/obo/OBI_0000070>	<http://purl.obolibrary.org/obo/OBI_0000299>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid133
<https://w3id.org/pmd/co/PMD_0010017>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020057>
<https://w3id.org/pmd/co/PMD_0020250>	<http://purl.obolibrary.org/obo/BFO_0000051>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1075
<https://w3id.org/pmd/co/PMD_0000618>	<http://purl.obolibrary.org/obo/RO_0000052>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid335
<http://purl.obolibrary.org/obo/IAO_0020000>	<http://purl.obolibrary.org/obo/OBI_0000312>	<http://purl.obolibrary.org/obo/IAO_0020010>
<http://purl.obolibrary.org/obo/CHEBI_33839>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/BFO_0000040>
<https://w3id.org/pmd/co/PMD_0001999>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000769>
<https://w3id.org/pmd/co/PMD_0050143>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0020251>
<https://w3id.org/pmd/co/PMD_0050137>	<http://purl.obolibrary.org/obo/RO_0000053>	<https://w3id.org/pmd/co/PMD_0000825>
<https://w3id.org/pmd/co/PMD_0020004>	<http://purl.obolibrary.org/obo/RO_0002351>	<https://w3id.org/pmd/co/PMD_0025997>
<https://w3id.org/pmd/co/PMD_0000833>	<http://purl.obolibrary.org/obo/OBI_0000293>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid404
<http://purl.obolibrary.org/obo/IAO_0000104>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/IAO_0000007>
<https://w3id.org/pmd/co/PMD_0020248>	<https://w3id.org/pmd/co/PMD_0025006>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1063
<https://w3id.org/pmd/co/PMD_0010016>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020076>
<https://w3id.org/pmd/co/PMD_0001015>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0050155>
